,Inspector,Violations,Address
350,Bamba Njie,"['2', '3', '29', '35', '36']",155  COMMERCE ST E
351,Benito Zuniga,[],125  LOOP 410 NW
352,Bamba Njie,"['2', '3', '36', '47']",102  PRODUCE ROW
353,Rebecca Vera,"['18', '32']",553  WHITE AV E
354,Bernard Capdeboscq,"['18', '18', '45', '47']",7103  HARLOW DR
355,Jacob Johanson,"['18', '22', '31', '35']",330  BASSE E
356,Rebecca Vera,"['34', '39', '42']",735  MILITARY DR SW
357,William Hudson,"['29', '35', '38', '42', '43', '47', '47']",1010  N FM 1604 E
358,William Hudson,"['23', '32', '37', '43', '47', '47']",938  N FM 1604 W
359,Kathleen Prenzler,"['21', '21', '22', '29', '29', '30', '34', '35', '35', '39', '39', '39', '39', '42', '43', '45', '45', '45', '47']",1227  LOOP 410 NE
360,Monica Caballero,"['31', '34', '42', '42', '45', '45', '45', '46']",1214  OLD HWY 90 W      102
361,Joe Mokry,"['23', '31', '45', '45']",10102  POTRANCO RD       #1#2
362,Benito Zuniga,[],13446  US HWY 281 N
363,Sumner Bumgardner,"['9', '21', '28', '29', '31']",400  JOSEPHINE E
364,Raul Jimenez,"['2', '3', '10', '10', '18', '29', '29', '42', '45']",4523  BLANCO RD
365,Fermin Garza,"['3', '30', '32', '39', '45']",7914  CULEBRA RD        #106
366,Lauren Schumacher,"['9', '15', '18', '18', '31', '34', '35', '35', '37']",1521  FLORES ST S
367,Valerie Suarez,"['9', '15', '21', '24', '30', '31', '31', '33', '35', '35', '35', '41', '42', '42', '46', '47']",1527  HILLCREST DR
368,Fermin Garza,"['30', '31', '41']",7491  GRISSOM RD
369,Daisy Zamora,"['7', '9', '28', '30', '37', '37', '38', '41', '42', '45', '46']",11705  PERRIN BEITEL     100
370,Mario Cavazos,"['1', '2', '2', '5', '22', '27', '29', '31', '33', '36', '43', '45', '46']",1424  GUADALUPE ST
371,Juanicia Page,"['2', '3', '18', '33', '35']",6020  OLD PEARSALL Rd. #101
372,Daniel Guzman,"['2', '3', '37', '42', '45']",2716  MILITARY DR SW
373,Monica Caballero,['21'],702  ACME RD S
374,Jeffrey Carrizales,"['20', '20', '20', '34', '34', '34']",3515  BACKBAY ST
375,Juanicia Page,['2'],6350  OLD PEARSALL
376,William Hudson,['32'],18146  BLANCO RD
377,Valerie Suarez,"['9', '15', '19', '21', '22', '29', '29', '30', '31', '35', '40', '42', '42']",1962  BANDERA RD
378,Bamba Njie,"['2', '3', '9', '28', '29', '31', '34', '36', '43', '45']",218  PRODUCE ROW
379,Bamba Njie,"['29', '36']",514  COMMERCE ST W     3
380,Jacob Johanson,"['21', '47']",3050  EISENHAUER RD
381,Jeffrey Carrizales,[],10915  VANCE JACKSON
382,Victoria Paredes,"['9', '9', '9', '31', '31', '32', '36', '39', '41']",2535  MILITARY DR SE
383,Daniel Guzman,"['2', '3', '10', '22', '44', '45']",1008  MILITARY DR SW
384,Lauren Schumacher,"['10', '35', '43']",730  SANTA ROSA S
385,Nathan Balfour,['39'],15900  LA CANTERA PARKWAY
386,Jeffrey Carrizales,"['2', '19', '19', '27', '27', '45', '45', '45', '45', '45', '45']",10131  WURZBACH RD
387,Erica Llanas,"['28', '30', '41', '47', '47']",21918  US HWY 281 N
388,Monica Caballero,"['7', '30', '39']",1214  OLD HWY 90 W      102
389,Daisy Zamora,"['2', '21', '30']",13523  NACOGDOCHES RD
390,Nathan Balfour,"['18', '18']",19793  IH 10 W
391,Jeffrey Carrizales,[],4502  MEDICAL DR
392,Benito Zuniga,"['6', '6', '7', '33', '34']",13707  EMBASSY ROW
393,Rebecca Vera,"['2', '9', '21', '30', '34', '45']",2119  MILITARY DR SW
394,Monica Caballero,"['30', '42']",702  ACME RD S
395,Debra Hernandez,"['2', '30']",1326  BANDERA RD
396,Mario Cavazos,"['2', '3', '9', '21', '22', '28', '34', '36', '41', '42']",1823  MARTIN ST W
397,Joe Mokry,[],9226  POTRANCO RD
398,Monica Caballero,[],702  ACME RD S
399,Joe Mokry,"['32', '47']",9502  POTRANCO RD
400,Victoria Paredes,"['7', '33', '36']",2751  MILITARY DR SE
401,Valerie Suarez,"['19', '21', '22', '28', '29', '30', '33', '34', '39', '42', '43', '45', '47']",5520  EVERS RD
402,Deborah Liu,"['22', '41']",9903  FREDSBG RD
403,Nathan Balfour,"['37', '42', '42']",15900  LA CANTERA PARKWAY
404,Adan Zamora,"['30', '36']",433  HACKBERRY ST S
405,Lauren Schumacher,"['2', '10', '34', '38', '39', '39']",1401  FLORES ST S
406,Lauren Schumacher,[],333  SANTA ROSA N
407,Debra Hernandez,"['2', '30']",1025  DONALDSON AV
408,Sumner Bumgardner,"['9', '21', '46']",312  PEARL PY          #01
409,Debra Hernandez,"['2', '30']",3307  FREDSBG RD
410,Rebecca Vera,['24'],735  MILITARY DR SW
411,Raul Jimenez,"['18', '29', '31', '32', '42']",1129  FRESNO ST
412,Daniel Guzman,"['2', '3', '31', '36', '45']",12511  LOOP 410 SW
413,Daisy Zamora,['30'],901  BITTERS RD
414,John Payelle,[],4226  DE ZAVALA RD
415,William Hudson,"['29', '32', '45']",18303  BLANCO RD
416,Daniel Guzman,"['2', '3', '10', '22', '23']",9222  ZARZAMORA ST S
417,Lauren Schumacher,"['9', '31', '39', '45', '45']",602  LABOR ST
418,Bernard Capdeboscq,"['27', '28', '31', '36', '37', '39', '39', '41', '43', '45', '46']",2154  AUSTIN HWY
419,Lauren Schumacher,"['18', '18', '35', '39', '39', '40', '40', '42', '45', '45']",524  HOUSTON ST E
420,Valerie Suarez,"['21', '22', '29', '30', '33', '35', '42']",4803  MANITOU DR
421,Raul Jimenez,"['28', '32', '34', '39', '42', '47']",2110  JACKSON-KELLER
422,Lauren Schumacher,"['10', '10', '18', '35', '36', '36', '38', '39', '39', '39', '39']",1414  ALAMO ST S        #105
423,Bernard Capdeboscq,"['18', '18', '21']",8054  MIDCROWN DR E
424,Daniel Guzman,"['2', '3', '31', '43', '46']",2103  PALO ALTO RD
425,Joe Mokry,['42'],8802  POTRANCO RD
426,Adan Zamora,['30'],3106  WW WHITE RD S
427,Valerie Suarez,"['9', '9', '19', '19', '21', '29', '30', '33', '41', '45', '47']",5337  GLEN RIDGE DR
428,Amanda Cantu,"['10', '19', '20', '30', '31', '35', '45', '45', '45', '45']",3619  IH 35 N
429,Lauren Schumacher,"['2', '18', '31', '35', '39']",122  NOGALITOS ST
430,MICHELLE MORENO,[],5830  BANDERA RD
431,Bernard Capdeboscq,"['18', '21', '28', '29', '32', '32', '37', '39', '43', '45']",2458  HARRY WURZBACH
432,Raul Jimenez,"['2', '9', '10', '10', '15', '21', '28', '29', '32', '34', '36', '42']",5131  WEST AV
433,Juanicia Page,[],7404  NEW HWY 90 W      #35
434,Victoria Paredes,['23'],3180  GOLIAD RD
435,Bernard Capdeboscq,"['21', '29', '36', '42', '43', '43', '45', '45', '45']",5490  WALZEM RD
436,Kassandra Aguilar,"['2', '21', '23', '28', '30', '43']",1816  NEW BRNFLS N
437,Joe Mokry,[],11302  POTRANCO RD
438,Jacob Johanson,[],5257  MC CULLOUGH AV
439,Victoria Paredes,['9'],3207  MILITARY DR SE
440,John Payelle,"['21', '22', '45', '47']",2602  N FM 1604 W       #101
441,Bernard Capdeboscq,"['18', '21', '33', '33', '45', '45']",5437  EISENHAUER RD
442,Victoria Paredes,[],3131  MILITARY DR SE
443,Valerie Suarez,"['10', '18', '21', '29', '30', '31', '31', '33', '34', '35', '42', '43', '43', '45', '47']",5703  EVERS RD
444,Bamba Njie,"['1', '2', '3', '9', '28', '31', '31', '35', '36', '43']",111  LEONA ST S
445,Bamba Njie,"['2', '3', '9', '18', '21', '22', '28', '31', '35', '36', '39', '43', '45']",124  MAIN AV N
446,Bamba Njie,"['2', '3', '18', '35', '36', '43']",115  MAIN PLAZA
447,Rebecca Vera,"['22', '23', '43', '45', '46']",2225  MILITARY DR SW
448,Joe Mokry,['30'],8802  POTRANCO RD
449,Diana Garcia,"['7', '30', '32', '36', '39', '41', '45']",6523  SAN PEDRO AV
450,Erica Arreola,[],4623  IH 35 S
451,John Payelle,"['45', '47', '47']",24039  OLD FREDSBG RD
452,Juanicia Page,[],503  LOVETT AV
453,Victoria Paredes,"['10', '19']",3227  MILITARY DR SE
454,John Payelle,"['21', '37']",2602  N FM 1604 W       #101
455,Juanicia Page,[],211  PALO ALTO RD
456,Rebecca Vera,"['30', '47']",5815  IH 35 S
457,Amanda Cantu,"['21', '22', '35']",5239  RIGSBY AV
458,Daisy Zamora,"['30', '34', '42', '42', '45']",12602  JONES MALTSBRG
459,Jacob Johanson,['46'],107  ELMHURST AVE
460,Kassandra Aguilar,['10'],2106  BURNET ST
461,Victoria Paredes,[],3239  MILITARY DR SE
462,Juanicia Page,"['2', '3']",5512  MILITARY DR W
463,Juanicia Page,"['37', '39', '41']",5658  OLD PEARSALL
464,Juanicia Page,[],6010  OLD PEARSALL      402
465,Juanicia Page,"['2', '27', '29', '45', '47']",7475  MILITARY DR W
466,Fermin Garza,['30'],8058  CULEBRA RD
467,Daniel Guzman,"['2', '3', '45']",527  LOGWOOD AV
468,Nathan Balfour,['37'],15900  LA CANTERA PARKWAY
469,John Payelle,[],4114  LOCKHILL SELMA
470,Diana Garcia,"['15', '18', '30', '32', '33', '35', '37', '42']",8403  MC CULLOUGH AV
471,Bamba Njie,"['2', '30', '36', '47']",1012  PRESA ST S
472,Bamba Njie,"['2', '22', '28', '30']",926  PRESA ST S
473,Daniel Guzman,"['2', '3', '18', '27', '45']",1440  MILITARY DR SW
474,Raul Jimenez,"['10', '18']",1905  WEST AV
475,Lauren Schumacher,"['36', '40']",403  BLUE STAR
476,Monica Caballero,"['7', '30', '31', '34', '37', '45', '45']",1606  CASTROVILLE RD
477,Sumner Bumgardner,"['15', '29', '46']",1000  ST MARYS S
478,MICHELLE MORENO,"['21', '22', '42']",6301  LOOP 410 NW       #VC11
479,Diana Garcia,"['28', '30', '36', '37', '45']",255  BASSE E           #310
480,William Emminger,[],8603  STATE HWY 151
481,MICHELLE MORENO,"['1', '3', '10', '18', '21', '22', '29', '31', '33']",5720  BANDERA RD        #1
482,Bernard Capdeboscq,"['34', '38']",5121  CRESTWAY RD       511
483,Rebecca Vera,"['31', '31', '46']",6637  ZARZAMORA ST S
484,Bernard Capdeboscq,"['18', '18', '36', '37', '42']",5121  CRESTWAY RD       511
485,Diana Garcia,"['7', '30']",5242  BLANCO RD
486,William Emminger,[],8603  STATE HWY 151
487,Sumner Bumgardner,"['21', '22', '25']",803  ST MARYS S
488,Erica Llanas,"['21', '30', '31', '35', '40', '41', '42', '42', '45']",20811  US 281 N
489,William Emminger,"['10', '39']",8603  STATE HWY 151
490,Sumner Bumgardner,['30'],311  ST MARYS S
491,Kathleen Prenzler,"['14', '18', '21', '21', '22', '28', '30', '41', '47', '47']",2445  NACOGDOCHES RD
492,Bernard Capdeboscq,"['14', '36', '39', '40', '42', '43', '45', '45']",11593  IH 35 N
493,John Payelle,"['42', '47']",12651  VANCE JACKSON     #110
494,Debra Hernandez,"['2', '7', '27', '47']",2754  CULEBRA RD
495,Mario Cavazos,"['2', '3', '28', '29', '33', '41', '42']",902  SAN AGUSTINE S
496,Sumner Bumgardner,"['21', '29', '30', '37']",1506  ST MARYS S
497,Benito Zuniga,"['9', '15', '19', '21', '22', '29', '29', '32', '32', '34', '42', '43', '43']",824  AFTERGLOW ST
498,Bernard Capdeboscq,"['2', '18', '18', '22', '36', '45']",1003  RITTIMAN RD
499,Fermin Garza,"['30', '32', '42']",7616  CULEBRA RD        #109
500,Erica Llanas,"['2', '22', '30', '35', '35', '42', '47']",21103  US 281 N
501,William Emminger,"['22', '29', '31', '37', '40', '41', '42']",8603  STATE HWY 151
502,Daniel Guzman,"['2', '3', '31', '42']",3701  PLEASANTON RD
503,Debra Hernandez,"['2', '28', '30', '37', '42']",2903  FREDSBG RD
504,Juanicia Page,"['15', '18', '21', '22', '28', '37', '39', '39', '42']",2303  QUINTANA RD
505,Lauren Schumacher,"['2', '29', '35', '37', '39', '39', '39', '40']",822  COMMERCE ST W     #204
506,Bamba Njie,"['2', '3', '9', '21', '22', '28', '31', '33', '36', '45', '45']",323  MAIN AV N
507,Monica Caballero,['19'],709  OLD HWY 90 W
508,Juanicia Page,"['2', '28']",3827  MILITARY DR SW
509,Daisy Zamora,['30'],20821  US 281 N          #116
510,Nathan Balfour,[],15900  LA CANTERA PARKWAY
511,Kassandra Aguilar,[],1106  E CESAR E CHAVEZ BLVD
512,Monica Caballero,['30'],1742  DAHLGREEN AV
513,William Emminger,"['7', '32', '32', '35', '39', '39', '39', '39', '40', '41', '46']",106  Callaghan Rd S
514,Daisy Zamora,"['18', '22', '30', '43']",20821  US 281 N          #116
515,Kathleen Prenzler,"['22', '30', '47']",2514  NACOGDOCHES RD
516,Bamba Njie,"['2', '3', '18', '21', '29', '30', '36', '43', '45', '47']",620  PRESA ST S
517,Kathleen Prenzler,"['10', '30', '42', '42', '45']",2522  NACOGDOCHES RD
518,Sean Gilbert,"['2', '24', '30', '39', '45']",7915  W 1604 N
519,Lauren Schumacher,"['10', '18', '18', '18', '28', '29', '34', '35', '39', '39', '39', '39', '40', '40', '42', '43', '45', '45', '45']",101  PEREIDA ST
520,Nathan Balfour,[],15900  LA CANTERA PARKWAY
521,Mario Cavazos,"['2', '45']",507  GEN MCMULLEN S
522,Raul Jimenez,"['2', '28', '29', '29', '31', '45']",2818  WEST AV
523,Deborah Liu,"['28', '29', '35', '39']",9820  HUEBNER RD
524,Bernard Capdeboscq,['21'],104  LANARK DR
525,Kassandra Aguilar,"['2', '10', '21', '22', '28', '29', '34', '47']",1142  COMMERCE ST E
526,Monica Caballero,['30'],715  OLD HWY 90 W
527,Sean Gilbert,"['18', '30', '31']",10167  CULEBRA RD
528,Sean Gilbert,"['18', '24', '28', '30', '32', '37', '37']",7907  W 1604 N
529,Joe Mokry,"['27', '36', '46']",8831  POTRANCO RD
530,Kathleen Prenzler,['30'],9503  IH 35 N
531,Kathleen Prenzler,"['10', '29', '29', '30', '40', '40', '47', '47']",9401  IH 35 N
532,Joe Mokry,[],8388  MARBACH RD
533,John Payelle,"['21', '28']",5615  LANDMARK PKWY
534,Kassandra Aguilar,[],2502  MARTIN LUTHER
535,Bamba Njie,[],1629  PRESA ST S
536,William Emminger,"['28', '29', '31', '32', '45']",1866  GRANDSTAND DR
537,Amanda Cantu,"['15', '18', '22', '28', '29', '31', '32', '35', '45', '45', '45', '46', '47']",1859  RIGSBY AV
538,Monica Caballero,"['7', '19', '30', '45']",2122  CASTROVILLE RD
539,Sean Gilbert,"['2', '10', '14', '28', '31', '32', '36', '39', '45', '45']",11803  BANDERA RD
540,Mario Cavazos,"['2', '3', '46']",325  CASTROVILLE RD
541,Rebecca Vera,"['18', '19', '32', '37']",6315  FLORES ST S
542,Monica Caballero,"['7', '30', '34']",946  CUPPLES RD
543,Amanda Cantu,"['21', '22', '30', '31', '32', '37', '42', '43', '45', '45', '45', '45']",536  W W WHITE RD S
544,Lauren Schumacher,"['10', '18', '34', '39', '39', '39']",555  ALAMO ST S
545,Lauren Schumacher,['19'],423  ALAMO ST S
546,Kathleen Prenzler,"['10', '29', '30', '34', '40', '45']",9603  IH 35 N
547,Lauren Schumacher,['37'],849  COMMERCE ST E
548,Monica Caballero,"['19', '30', '45']",2101  QUINTANA RD
549,Kassandra Aguilar,"['10', '14', '21', '30', '33', '43']",1801  MARTIN L KING
550,Kassandra Aguilar,"['2', '21', '29', '37', '42', '43']",1801  MARTIN L KING
551,Juanicia Page,[],4222  LOOP 410 SW
552,Juanicia Page,['2'],4222  LOOP 410 SW
553,Fermin Garza,"['30', '31', '32', '34', '45']",8099  CULEBRA RD
554,Nathan Balfour,"['3', '15', '19', '21', '29', '30', '31', '37', '37', '39', '42', '43', '43', '45']",15409  WHITE FAWN DR
555,Kathleen Prenzler,"['21', '29', '30', '42', '45']",3021  MACARTHUR VIEW
556,Deborah Liu,"['3', '18', '29', '47']",5895  BABCOCK RD
557,Debra Hernandez,"['2', '10', '30']",1419  CULEBRA RD
558,Bernard Capdeboscq,"['18', '18', '21', '46', '47']",2502  AUSTIN HWY
559,Juanicia Page,"['2', '3']",7902  WESTSHIRE DR
560,Juanicia Page,[],7902  WESTSHIRE DR
561,Jacob Johanson,"['15', '34']",3130  BROADWAY
562,Bamba Njie,"['23', '36', '47']",1415  PRESA ST S
563,Kathleen Prenzler,"['21', '22', '29', '30', '32', '37', '39', '41', '42', '47']",8800  BROADWAY          108
564,Jacob Johanson,"['14', '21']",3615  BROADWAY
565,Benito Zuniga,[],97  LOOP 410 NE
566,Deborah Liu,[],5757  FARINON DR
567,Sumner Bumgardner,"['9', '21', '22', '29', '31', '31', '43']",909  BROADWAY
568,William Emminger,"['3', '18', '22', '29', '29', '31', '39', '39', '41', '46', '47']",6855  LOOP 410 NW
569,Joe Mokry,['31'],10626  WESTOVER HILLS
570,Amanda Cantu,"['32', '42']",237  W W WHITE RD N
571,Erica Arreola,"['28', '33']",320  FLORES ST N
572,Benito Zuniga,"['22', '30']",9710  AIRPORT BV
573,Kassandra Aguilar,"['10', '28', '30', '31', '31', '34', '34', '34', '35', '45']",650  PORTER ST
574,Debra Hernandez,"['2', '22', '42', '42', '47', '47']",2856  CULEBRA RD
575,Valerie Suarez,"['21', '29', '30', '33']",5063  LOOP 410 NW
576,Lauren Schumacher,['7'],600  HEMISFAIR PLAZA WAY
577,Rebecca Vera,"['30', '32', '36', '45', '47']",611  SOUTHCROSS W
578,Erica Arreola,[],622  FLORES ST S
579,Sumner Bumgardner,['21'],312  PEARL PY          #01
580,Rebecca Vera,[],827  RAYBURN DR
581,Daisy Zamora,[],120  EAST SONTERRA
582,Debra Hernandez,"['2', '47']",938  BANDERA RD
583,Joe Mokry,"['31', '39']",8260  MARBACH RD
584,Rebecca Vera,[],2535  MILITARY DR SW    #100
585,Daisy Zamora,"['22', '35', '46', '47']",18866  STONE OAK PY      #106
586,Cicily Martinez,"['9', '18', '21', '22', '23', '28', '29', '30', '33', '37', '38', '41', '43']",1819  MC CULLOUGH AV
587,MICHELLE MORENO,"['18', '21', '28', '29', '46']",6053  COMMERCE ST W
588,Erica Llanas,"['29', '30', '31', '47']",18866  STONE OAK PY      #106
589,Lauren Schumacher,"['11', '42', '43', '45']",1031  ST MARYS S
590,Kassandra Aguilar,"['14', '23', '28', '31', '33', '34', '39', '45']",700  PORTER ST
591,Benito Zuniga,"['18', '29', '41']",9710  AIRPORT BV
592,Juanicia Page,[],5975  OLD PEARSALL RD
593,Victoria Paredes,[],684  MILITARY DR SW
594,Kacie Patrick,['30'],18866  STONE OAK PY      #106
595,Maurico Ripley,['28'],8802  POTRANCO RD
596,Kassandra Aguilar,"['10', '28']",602  FLORIDA ST
597,Juanicia Page,[],5938  OLD PEARSALL
598,William Emminger,"['21', '31', '32', '46']",7431  LOOP 410 NW
599,Benito Zuniga,[],226  BITTERS RD W
600,Sumner Bumgardner,"['21', '29', '30']",300  TRAVIS ST E
601,Maurico Ripley,[],8802  POTRANCO RD
602,Amanda Cantu,"['21', '33', '45']",6635  FM 78
603,Mario Cavazos,"['3', '9', '10', '20', '21', '22', '27', '29', '31', '45', '45', '45', '46', '46']",802  ZARZAMORA ST N
604,Victoria Paredes,"['2', '3', '9', '28', '31', '45']",2510  PLEASANTON RD
605,Victoria Paredes,"['2', '3', '18', '37']",516  MILITARY DR SW
606,Bernard Capdeboscq,[],6410  IH 35 N
607,Bamba Njie,[],900  DOLOROSA
608,Victoria Paredes,"['2', '3', '9', '36', '37', '37', '39', '41', '42', '45']",522  MILITARY DR SW
609,Kacie Patrick,[],502  MADISON OAK DR    #180
610,Mario Cavazos,"['2', '9', '10', '28', '29', '29', '34', '41', '43', '45']",1225  ZARZAMORA ST S
611,Sean Gilbert,"['19', '29', '31', '42', '44', '45', '45', '47']",11031  CULEBRA RD
612,Juanicia Page,"['9', '36', '37', '42']",6333  OLD PEARSALL
613,Juanicia Page,"['10', '15', '36', '37', '39', '39', '42', '42']",5970  OLD PEARSALL
614,Lauren Schumacher,"['2', '7', '10', '14', '15', '28', '39', '39', '39']",212  CROCKETT ST W
615,Lauren Schumacher,"['18', '18', '29', '32', '35', '42', '47']",270  LOSOYA ST
616,Mario Cavazos,"['2', '3', '10', '46']",919  GUADALUPE ST
617,Bamba Njie,"['36', '45']",124  MAIN AV N
618,Lauren Schumacher,"['10', '28', '33', '35', '35', '36', '39', '39', '39', '39', '47']",400  HOUSTON ST E
619,Maurico Ripley,"['20', '32', '42']",1744  HORAL
620,Joe Mokry,"['3', '22', '32', '39', '45', '45', '45', '45', '45', '45', '45', '46', '47']",14107  NACOGDOCHES RD
621,Deborah Liu,['35'],5423  HAMILTON WOLFE
622,Victoria Paredes,"['2', '3', '15', '32']",93  SHASTA AV
623,Deborah Liu,[],8403  FLOYD CURL DR
624,Mario Cavazos,"['2', '3', '9', '20', '21', '22', '29', '29', '30', '31', '43', '45', '45', '46', '47']",1302  TRINITY ST N
625,William Emminger,[],7431  LOOP 410 NW
626,John Payelle,"['21', '27', '35', '37', '47']",4503  DE ZAVALA RD      124
627,Sumner Bumgardner,"['21', '28', '29', '30']",300  TRAVIS ST E
628,Kacie Patrick,[],503  MADISON OAK DR
629,Amanda Cantu,"['21', '33', '35']",6390  RITTIMAN RD
630,William Emminger,[],7431  LOOP 410 NW
631,Sumner Bumgardner,"['21', '29', '30']",1221  BROADWAY
632,Benito Zuniga,"['9', '14', '35', '35']",40  LOOP 410 NE
633,Kassandra Aguilar,"['10', '43', '43']",925  GULF ST
634,John Payelle,"['27', '42']",4503  DE ZAVALA RD      124
635,Sean Gilbert,"['9', '29', '34', '35', '37', '39', '45']",5511  W FM 1604 N
636,John Payelle,"['18', '21']",17603  LA CANTERA PY
637,Deborah Liu,['9'],9800  FREDSBG RD
638,Deborah Liu,[],9800  FREDSBG RD
639,Deborah Liu,[],9800  FREDSBG RD
640,RYAN DAVIS,"['31', '34', '34', '42']",10918  WURZBACH RD       #131
641,Erica Arreola,"['32', '45']",4822  ZARZAMORA ST S
642,RYAN DAVIS,[],15290  HUEBNER RD
643,Daniel Guzman,[],7838  BARLITE BLVD
644,Victoria Paredes,"['2', '3']",9607  SOUTHTON RD
645,Kacie Patrick,"['29', '30', '31', '36']",1139  EAST SONTERRA
646,Kacie Patrick,"['29', '30', '31', '36']",1139  EAST SONTERRA
647,Deborah Liu,"['2', '41']",9800  FREDSBG RD
648,Deborah Liu,[],9800  FREDSBG RD
649,Deborah Liu,[],9800  FREDSBG RD
650,Daniel Guzman,"['2', '3']",519  HARDING BLVD W
651,Erica Arreola,[],530  HOOVER AV
652,Lauren Schumacher,"['7', '7', '10', '10', '31', '31', '35', '35', '47']",701  BOWIE ST
653,Bernard Capdeboscq,"['29', '31', '41', '45']",4646  RITTIMAN RD
654,Lauren Schumacher,"['41', '47']",200  MARKET ST E
655,Lauren Schumacher,"['34', '43', '47']",200  MARKET ST E
656,Lauren Schumacher,['47'],200  MARKET ST E
657,Lauren Schumacher,['47'],200  MARKET ST E
658,Lauren Schumacher,"['20', '47']",200  MARKET ST E
659,Adan Zamora,[],3520  NEW BRNFLS S
660,Kacie Patrick,[],158  EAST SONTERRA     #101
661,Kacie Patrick,[],158  EAST SONTERRA     #101
662,Juanicia Page,[],8619  RAY ELLISON BV
663,Erica Arreola,['11'],2118  ZARZAMORA ST S
664,Lauren Schumacher,"['18', '41', '47']",200  MARKET ST E
665,Victoria Paredes,['2'],910  MILITARY DR SE
666,Deborah Liu,"['9', '9']",9800  FREDSBG RD
667,Amanda Cantu,"['21', '30', '37']",301  W W WHITE RD N
668,Erica Arreola,"['10', '35', '45']",444  MITCHELL ST W
669,Deborah Liu,[],9800  FREDSBG RD
670,Deborah Liu,[],9800  FREDSBG RD
