,Inspector,Violations,Address
1689,Kathleen Prenzler,"['21', '29', '30', '40', '47']",1901  NACOGDOCHES RD    #103
1690,Kacie Patrick,"['33', '39']",19141  STONE OAK PY      #305
1691,Kathleen Prenzler,"['10', '10', '21', '22', '30', '42', '45', '45', '47']",8727  PERRIN BEITEL
1692,Daisy Zamora,"['23', '27', '30', '34', '47']",4243  THOUSAND OAKS
1693,Kathleen Prenzler,"['10', '10', '10', '21', '22', '28', '30', '31', '35', '35', '42', '45', '46', '47']",1901  NACOGDOCHES RD    #103
1694,Kacie Patrick,[],19141  STONE OAK PY      #305
1695,Monica Caballero,"['28', '30', '34', '42', '47']",1402  CASTROVILLE RD
1696,Jacob Johanson,"['3', '10', '21', '29', '29']",805  HILDEBRAND W
1697,Deborah Liu,"['9', '9', '29', '40']",5014  PRUE RD
1698,Kassandra Aguilar,"['2', '34']",415  GABRIEL ST
1699,Amanda Cantu,[],100  MONTANA ST
1700,Daniel Guzman,"['2', '3', '18', '23', '37', '46']",1759  PALO ALTO RD
1701,Benito Zuniga,['19'],226  BITTERS RD W
1702,Cicily Martinez,"['3', '9', '10', '14', '37']",2112  BLANCO RD
1703,Benito Zuniga,"['7', '46']",8020  BLANCO RD
1704,Nathan Balfour,[],7132  OAK RD
1705,Valerie Suarez,"['21', '29', '30', '31', '33', '39']",8910  BANDERA RD        #102
1706,Deborah Liu,[],4715  MEDICAL DR
1707,Deborah Liu,['3'],4727  MEDICAL DR
1708,Amanda Cantu,[],8111  MEADOW LEAF
1709,Deborah Liu,['10'],2827  BABCOCK RD
1710,Adan Zamora,['30'],2920  SOUTHCROSS E
1711,Cicily Martinez,[],1500  BLANCO RD
1712,Amanda Cantu,[],3201  HOUSTON ST E
1713,Erica Arreola,[],606  DIVISION
1714,Monica Caballero,"['11', '19', '30']",1103  CUPPLES RD
1715,Rebecca Vera,[],255  BASSE E           #310
1716,Sumner Bumgardner,"['21', '32', '43']",2020  BROADWAY
1717,Monica Caballero,"['30', '39', '42', '45']",351  OLD HWY 90 W
1718,Daniel Guzman,"['2', '3', '20', '31', '37']",2214  PALO ALTO RD
1719,Diana Garcia,"['28', '30', '45']",7557  MC CULLOUGH AV
1720,Jacob Johanson,['38'],1520  AUSTIN HWY
1721,Adan Zamora,"['37', '47']",4102  NEW BRNFLS S
1722,Sumner Bumgardner,[],503  CHESTNUT ST
1723,Amanda Cantu,[],3201  HOUSTON ST E
1724,Amanda Cantu,[],3201  HOUSTON ST E
1725,Erica Arreola,"['23', '42']",100  PROBANDT ST
1726,Erica Arreola,"['10', '21', '22', '32', '42']",100  PROBANDT ST
1727,Daniel Guzman,"['2', '18', '31', '45', '46']",1815  PALO ALTO RD
1728,Kacie Patrick,"['1', '30']",20323  HUEBNER RD
1729,Deborah Liu,"['1', '30']",5282  MEDICAL DR        #115
1730,Kacie Patrick,[],18206  BLANCO RD
1731,Cicily Martinez,"['22', '29', '30', '34', '39', '39', '47']",1727  BLANCO RD
1732,Erica Llanas,"['28', '30', '35', '43', '47']",22026  US HWY 281 N
1733,Daniel Guzman,"['20', '31', '34', '42']",4103  COMMERCIAL AV
1734,Amanda Cantu,[],901  N FM 1604 W
1735,Deborah Liu,"['2', '2', '9', '10', '22', '29', '35', '42', '45']",4499  MEDICAL DR        #135
1736,William Hudson,[],1130  N FM 1604 W       #105
1737,Jacob Johanson,"['9', '35']",555  FUNSTON PL        B
1738,Nathan Balfour,"['10', '34']",17803  LA CANTERA TER
1739,William Hudson,"['32', '39', '42']",19179  BLANCO RD
1740,Sumner Bumgardner,['21'],315  PECAN ST E
1741,Deborah Liu,[],4739  MEDICAL DR
1742,Benito Zuniga,"['7', '9', '18', '28', '33', '34', '34', '38', '39', '42']",10218  DESERT SANDS
1743,Diana Garcia,"['9', '30', '32', '39']",999  BASSE E
1744,Raul Jimenez,"['9', '14', '15', '28', '31', '37', '40', '42']",3219  BLANCO RD
1745,Amanda Cantu,[],100  MONTANA ST
1746,Amanda Cantu,[],100  MONTANA ST
1747,Erica Llanas,['30'],3111  TPC PARKWAY
1748,Jacob Johanson,['2'],555  FUNSTON PL        B
1749,Amanda Cantu,[],8111  MEADOW LEAF
1750,Jacob Johanson,[],1520  AUSTIN HWY
1751,Juanicia Page,"['2', '28', '42']",6003  OLD PEARSALL
1752,Juanicia Page,"['18', '31', '31', '45']",5980  OLD PEARSALL
1753,Joe Mokry,['45'],11210  POTRANCO RD
1754,Kassandra Aguilar,"['9', '14', '15', '19', '19', '21', '22', '28', '31', '32', '34', '35', '37', '39', '42', '42', '45']",900  NOLAN ST
1755,Kathleen Prenzler,"['10', '10', '18', '18', '18', '21', '21', '22', '26', '26', '26', '28', '29', '30', '31', '31', '31', '31', '32', '34', '37', '42', '42', '45', '45', '47']",2525  LOOP 410 NE       #110
1756,Kassandra Aguilar,"['2', '10', '14', '15', '18', '21', '28', '29', '34', '35', '35', '37', '39', '39', '40', '40', '42', '42', '43', '47']",1030  DURANGO BLVD E
1757,Cicily Martinez,"['2', '9', '14', '15', '31', '35', '35', '38']",2919  BLANCO RD
1758,Lauren Schumacher,"['2', '9', '29', '29', '35', '36', '37', '39', '39', '39', '40', '41', '42', '45']",234  RIVERWALK
1759,Kacie Patrick,"['1', '6', '9', '27', '28', '36', '39', '39', '39']",20079  STONE OAK PY      #1103
1760,Kassandra Aguilar,"['10', '19', '28', '32', '32', '34', '42', '43', '43', '45']",531  NEW BRNFLS N
1761,Kathleen Prenzler,"['10', '26', '26', '26', '30', '32', '34', '42', '43', '45', '46']",2442  NACOGDOCHES RD
1762,Lauren Schumacher,"['10', '10', '11', '29', '34', '39', '39', '39', '39', '43', '47']",145  NAVARRO ST
1763,Kacie Patrick,"['19', '21', '29', '31', '34', '45']",19903  STONE OAK PY      #101
1764,Erica Llanas,"['18', '18', '22', '30', '34', '35', '42', '42', '42', '45', '45', '45', '46', '46', '47']",1662  ENCINO RIO
1765,Diana Garcia,"['21', '28', '30', '31', '39', '45']",102  THAMES DR
1766,Lauren Schumacher,"['9', '10', '10', '31', '39', '39', '39', '41']",245  COMMERCE ST E     #400
1767,Diana Garcia,"['28', '29', '31', '32', '45']",255  BASSE E           #310
1768,Benito Zuniga,"['9', '23', '28', '32']",701  RHAPSODY ST W
1769,Debra Hernandez,"['2', '7', '10', '31', '45']",1213  24TH ST NW
1770,Adan Zamora,"['25', '30', '31', '39', '45']",133  GOLIAD RD
1771,Sean Gilbert,"['1', '9', '32', '37', '41', '42', '45']",5603  W FM 1604 N
1772,Erica Llanas,"['9', '30', '35', '36', '42', '45']",1662  ENCINO RIO
1773,Daisy Zamora,"['2', '21', '28', '30', '31']",3755  THOUSAND OAKS
1774,Cicily Martinez,"['10', '28', '34', '42']",914  HILDEBRAND W
1775,Sean Gilbert,"['10', '19', '30', '31', '37']",6626  W 1604 N
1776,John Payelle,"['18', '19', '45']",11075  IH 10 W
1777,Kathleen Prenzler,"['10', '21', '31', '39', '39', '47', '47', '47', '47']",1802  NACOGDOCHES RD
1778,Jacob Johanson,"['18', '31', '39', '45']",5811  SAN PEDRO AV
1779,William Hudson,"['2', '37', '42', '45']",18155  BLANCO RD
