,DISTRICT,ESTABLISHMENT ADDRESS,ESTABLISHMENT NAME,INSPECTION DATE,LINK,SECTOR,TOTAL SCORE
69,A,"10927 CULEBRA RD San Antonio, TX 782540",MAMA MARGIES MEXICAN CAFE #,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413031&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,2,94
70,D,"2231 CASTROVILLE RD San Antonio, TX 782370",MARIOS BAKERY,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413011&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,29,100
71,C,"2135 MILITARY DR SW San Antonio, TX 782241402",MCDONALD'S RESTAURANT #1703 #,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412934&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,26,96
72,C,"2646 IH 35 N San Antonio, TX 782080",MCDONALDS # 5984,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412942&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,20,85
73,A,"10350 BANDERA RD San Antonio, TX 782400",METRO TACO STOP,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413015&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,1,93
74,A,"6125 CALLAGHAN RD San Antonio, TX 782281117",NIKIS CAFE MEXICAN RESTAURANT,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412938&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,1,92
75,D,"7811 IH 35 S San Antonio, TX 782240",OLIVE GARDEN #1799,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412947&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,36,99
76,C,"112 COLLEGE ST San Antonio, TX 782051811",Omni La Mansion Del Rio,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412937&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,22,90
77,D,"1318 CUPPLES RD San Antonio, TX 782261222",PANADERIA LA PROMESA,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412998&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,29,99
78,A,"9123 N FM 1604 W San Antonio, TX 780230",PAPA JOHNS PIZZA #3318 #,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412973&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,2,100
79,A,"11600 BANDERA RD San Antonio, TX 782490",PAPA MURPHY'S PIZZA,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412956&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,2,100
80,D,"2402 PINN RD San Antonio, TX 782273638",PEPPER PATCH LOUNGE,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413000&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,33,93
81,D,"2512 MAIN AV N San Antonio, TX 782123451",PERIPHERY RESTAURANT,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412975&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,35,94
82,D,"907 COMMERCE ST W San Antonio, TX 782074445",PIK NIK FOODS,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412964&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,28,93
83,B,"1418 AUSTIN HWY San Antonio, TX 78209",RAISING CANES #232,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413009&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,18,100
